[35267-8628604032]-2025-05-05 15:50:19,804-INFO-Logging is set up.
[35287-8628604032]-2025-05-05 15:50:37,365-INFO-Logging is set up.
[35312-8628604032]-2025-05-05 15:51:05,272-INFO-Logging is set up.
[35327-8628604032]-2025-05-05 15:51:11,330-INFO-Logging is set up.
[35608-8628604032]-2025-05-05 15:51:36,969-INFO-Logging is set up.
[35674-8628604032]-2025-05-05 15:52:45,120-INFO-Logging is set up.
[35712-8628604032]-2025-05-05 15:53:55,064-INFO-Logging is set up.
[35722-8628604032]-2025-05-05 15:53:59,021-INFO-Logging is set up.
[35733-8628604032]-2025-05-05 15:54:02,479-INFO-Logging is set up.
[35747-8628604032]-2025-05-05 15:54:14,272-INFO-Logging is set up.
[35869-8628604032]-2025-05-05 15:54:32,077-INFO-Logging is set up.
